amedas_id,amedas_subid,fuken_name,fuken_id,type,f_pre,f_tem,f_sun,station_name,station_name_kana,location,latitude,longitude,height,station_id,pref_name,pref_code,region_name,region_sort_order,station_id,station_kbn
11001,0,宗谷,11,四,Y,Y,Y,宗谷岬,ソウヤミサキ,稚内市宗谷岬,45.5200,141.9350,26,1284,北海道,1,北海道,1,1284,A
11016,0,宗谷,11,官,Y,Y,Y,稚内,ワッカナイ,稚内市開運　稚内地方気象台,45.4150,141.6783,3,47401,北海道,1,北海道,1,47401,S
11046,0,宗谷,11,四,Y,Y,Y,礼文,レブン,礼文郡礼文町大字香深村字トンナイ,45.3050,141.0450,65,1546,北海道,1,北海道,1,1546,A
11076,0,宗谷,11,四,Y,Y,Y,浜鬼志別,ハマオニシベツ,宗谷郡猿払村浜鬼志別,45.3350,142.1700,13,1285,北海道,1,北海道,1,1285,A
11121,0,宗谷,11,四,Y,Y,Y,沼川,ヌマカワ,稚内市声問村字沼川,45.2483,141.8517,23,1203,北海道,1,北海道,1,1203,A
11151,0,宗谷,11,四,Y,Y,Y,沓形,クツガタ,利尻郡利尻町沓形字泉町,45.1767,141.1383,14,2,北海道,1,北海道,1,0002,A
11176,0,宗谷,11,四,Y,Y,Y,豊富,トヨトミ,天塩郡豊富町字上サロベツ,45.1067,141.7650,16,1054,北海道,1,北海道,1,1054,A
11206,0,宗谷,11,四,Y,Y,Y,浜頓別,ハマトンベツ,枝幸郡浜頓別町クッチャロ湖畔,45.1250,142.3500,18,3,北海道,1,北海道,1,0003,A
11276,0,宗谷,11,四,Y,Y,Y,中頓別,ナカトンベツ,枝幸郡中頓別町上駒,44.9650,142.2800,25,1051,北海道,1,北海道,1,1051,A
11291,0,宗谷,11,官,Y,Y,Y,北見枝幸,キタミエサシ,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44.9400,142.5850,7,47402,北海道,1,北海道,1,47402,S
11316,0,宗谷,11,四,Y,Y,Y,歌登,ウタノボリ,枝幸郡枝幸町歌登東町,44.8400,142.4800,14,5,北海道,1,北海道,1,0005,A
12011,0,上川,12,四,Y,Y,Y,中川,ナカガワ,中川郡中川町中川,44.8283,142.0767,22,1201,北海道,1,北海道,1,1201,A
12041,0,上川,12,四,Y,Y,Y,音威子府,オトイネップ,中川郡音威子府村音威子府,44.7267,142.2650,40,1197,北海道,1,北海道,1,1197,A
12141,0,上川,12,四,Y,Y,Y,美深,ビフカ,中川郡美深町西町,44.4800,142.3417,77,6,北海道,1,北海道,1,0006,A
12181,0,上川,12,四,Y,Y,Y,名寄,ナヨロ,名寄市大橋,44.3700,142.4567,89,8,北海道,1,北海道,1,0008,A
12231,0,上川,12,四,Y,Y,Y,下川,シモカワ,上川郡下川町西町,44.3017,142.6233,140,10,北海道,1,北海道,1,0010,A
12261,0,上川,12,四,Y,Y,Y,士別,シベツ,士別市武徳町,44.1867,142.4167,135,11,北海道,1,北海道,1,0011,A
12266,0,上川,12,四,Y,Y,Y,朝日,アサヒ,士別市朝日町中央,44.1183,142.5950,225,1047,北海道,1,北海道,1,1047,A
12301,0,上川,12,四,Y,Y,Y,和寒,ワッサム,上川郡和寒町字日ノ出,44.0283,142.4100,150,1055,北海道,1,北海道,1,1055,A
12386,0,上川,12,四,Y,Y,Y,江丹別,エタンベツ,旭川市江丹別町芳野,43.8700,142.2600,140,1191,北海道,1,北海道,1,1191,A
12396,0,上川,12,四,Y,Y,Y,比布,ピップ,上川郡比布町北町,43.8750,142.4800,175,1048,北海道,1,北海道,1,1048,A
12411,0,上川,12,四,Y,Y,Y,上川,カミカワ,上川郡上川町栄町,43.8467,142.7533,324,15,北海道,1,北海道,1,0015,A
12442,0,上川,12,官,Y,Y,Y,旭川,アサヒカワ,旭川市宮前通東　旭川地方気象台,43.7567,142.3717,120,47407,北海道,1,北海道,1,47407,S
12451,0,上川,12,四,Y,Y,Y,東川,ヒガシカワ,上川郡東川町北町,43.7017,142.5083,215,1184,北海道,1,北海道,1,1184,A
12512,0,上川,12,四,Y,Y,Y,志比内,シビナイ,上川郡東神楽町志比内,43.6433,142.5817,310,1185,北海道,1,北海道,1,1185,A
12551,0,上川,12,四,Y,Y,Y,美瑛,ビエイ,上川郡美瑛町原野5線,43.5883,142.4933,250,1052,北海道,1,北海道,1,1052,A
12596,0,上川,12,四,Y,Y,Y,上富良野,カミフラノ,空知郡上富良野町大町,43.4550,142.4650,220,1190,北海道,1,北海道,1,1190,A
12626,0,上川,12,四,Y,Y,Y,富良野,フラノ,富良野市東町,43.3333,142.4000,174,21,北海道,1,北海道,1,0021,A
12632,0,上川,12,四,Y,Y,Y,麓郷,ロクゴウ,富良野市麓郷市街地,43.3017,142.5217,315,1280,北海道,1,北海道,1,1280,A
